id,semantic_groups,preflabel,synonyms,description
UniProt:P41181,GENE,Aquaporin 2,AQP-CD|WCH-CD|AQP-2|aquaporin-2|AQP2|ADH water channel|Water channel protein for renal collecting duct|aquaporin 2 (collecting duct)|aquaporin-CD|collecting duct water channel protein|water-channel aquaporin 2,mammalian protein found in Homo sapiens
UniProt:P55087,GENE,Aquaporin 4,AQP4|Mercurial-insensitive water channel|MIWC|WCH4|aquaporin-4|aquaporin type4,mammalian protein found in Homo sapiens
UniProt:P55064,GENE,Aquaporin 5,AQP5|aquaporin-5,mammalian protein found in Homo sapiens
UniProt:Q13520,GENE,Aquaporin 6,"AQP6|Aquaporin-2-like|hKID|AQP-6|aquaporin-6|aquaporin 2-like, kidney specific|aquaporin-6, kidney specific|kidney-specific aquaporin",mammalian protein found in Homo sapiens
UniProt:P30301,GENE,Major intrinsic protein of lens fiber,MIP|MIP26|MP26|Aquaporin-0|lens fiber major intrinsic protein|aquaporin 0,mammalian protein found in Homo sapiens
CHEBI:506227,CHEM,N-acetyl-D-glucosamine,"N-Acetyl-D-glucosamine|GlcNAc|N-Acetylchitosamine|2-Acetamido-2-deoxy-D-glucose|2-Acetamido-2-deoxy-D-glucopyranose|N-Acetylglucosamine|N-[(3R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide|Acetylglucosamine|2-Acetamido-2-deoxyglucose|2-Acetamido-D-glucose|2-(Acetylamino)-2-deoxyhexose|2-Acetylamino-2-deoxy-D-glucose",chemical compound
HMDB:HMDB00215,CHEM,N-Acetyl-D-glucosamine,"N-Acetyl-D-glucosamine|GlcNAc|N-Acetylchitosamine|2-Acetamido-2-deoxy-D-glucose|2-Acetamido-2-deoxy-D-glucopyranose|N-Acetylglucosamine|N-[(3R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide|Acetylglucosamine|2-Acetamido-2-deoxyglucose|2-Acetamido-D-glucose|2-(Acetylamino)-2-deoxyhexose|2-Acetylamino-2-deoxy-D-glucose","N-Acetyl-D-Glucosamine (N-acetlyglucosamine) is a monosaccharide derivative of glucose. Chemically it is an amide between glucosamine and acetic acid. A single N-acetlyglucosamine moiety linked to serine or threonine residues on nuclear and cytoplasmic proteins -O-GlcNAc, is an ubiquitous post-translational protein modification. O-GlcNAc modified proteins are involved in sensing the nutrient status of the surrounding cellular environment and adjusting the activity of cellular proteins accordingly. O-GlcNAc regulates cellular responses to hormones such as insulin, initiates a protective response to stress, modulates a cell's capacity to grow and divide, and regulates gene transcription. In humans, it exists in skin, cartilage and blood vessel as a component of hyaluronic acid, and bone tissue, cornea and aorta as a component of keratan sulfate."
DrugBank:DB00141,CHEM,N-Acetylglucosamine,2-Acetamido-2-deoxy-D-glucose|aldehydo-N-acetyl-D-glucosamine|D-GlcNAc|N-Acetyl-D-glucosamine|N-Acetylchitosamine,The N-acetyl derivative of glucosamine.
CHEBI:17411,CHEM,N-Acetyl-D-glucosamine,D-GlcNAc|GlcNAc|N-Acetyl-beta-D-glucosamine|BetaGlcNAc|N-Acetyl-β-D-glucosamine,pharmaceutical drug
GO:0006040,PHYS,amino sugar metabolic process,amino sugar metabolism|aminosaccharide metabolic process|aminosaccharide metabolism,"The chemical reactions and pathways involving any amino sugar, sugars containing an amino group in place of a hydroxyl group."
GO:0006536,PHYS,glutamate metabolic process,GO:0006536|glutamic acid metabolic process|glutamic acid metabolism|glutamate metabolism,"The chemical reactions and pathways involving glutamate, the anion of 2-aminopentanedioic acid."
GO:0018146,PHYS,keratan sulfate biosynthetic process,keratan sulfate biosynthesis|keratan sulphate biosynthesis|keratan sulfate anabolism|keratan sulfate formation|keratan sulphate biosynthetic process|keratan sulfate synthesis,"The chemical reactions and pathways resulting in the formation of keratan sulfate, a glycosaminoglycan with repeat units consisting of beta-1,4-linked D-galactopyranosyl-beta-(1,4)-N-acetyl-D-glucosamine 6-sulfate and with variable amounts of fucose."
GO:0035528,PHYS,UDP-N-acetylglucosamine biosynthesis involved in chitin biosynthesis,UDP-N-acetylglucosamine anabolism involved in chitin biosynthesis|UDP-N-acetylglucosamine formation involved in chitin biosynthesis|UDP-GlcNAc biosynthetic process involved in chitin biosynthesis|UDP-N-acetylglucosamine biosynthetic process involved in chitin biosynthetic process|UDP-N-acetylglucosamine synthesis involved in chitin biosynthesis|UDP-GlcNAc biosynthesis involved in chitin biosynthesis|UDP-GlcNAc biosynthetic process involved in chitin biosynthetic process,"The chemical reactions and pathways resulting in the formation of UDP-N-acetylglucosamine, a substance composed of N-acetylglucosamine in glycosidic linkage with uridine diphosphate, that contribute to the biosynthesis of chitin."
FOODON:03401298,PHYS,dietary supplement,NA,product that provides additional source of nutrients
CHEBI:27027,PHYS,micronutrient,NA,NA
GO:0016020,ANAT,membrane,GO:0016020,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.
GO:0005764,ANAT,lysosome,GO:0005764,"A small lytic vacuole that has cell cycle-independent morphology and is found in most animal cells and that contains a variety of hydrolases, most of which have their maximal activities in the pH range 5-6. The contained enzymes display latency if pr"
UBERON:0000178,ANAT,blood,NA,specialized bodily fluid in animals
UBERON:0001913,ANAT,human breast milk,Fore milk|Alternative uses for breast milk|Human milk|Hindmilk|Breast milk|Foremilk|Expressed breast milk|Breastmilk|Hind milk|Boob milk,milk produced by the breasts (or mammary glands) of a human female for her infant offspring
UBERON:0001988,ANAT,feces,poop|faeces|excrements|tool|poo|💩,waste product from an animal's digestive tract
UBERON:0001836,ANAT,saliva,NA,NA
UBERON:0001088,ANAT,urine,NA,by-product of the body
UBERON:0000160,ANAT,intestine,NA,alimentary canal of an animal through which food passes after having passed all stomachs
UBERON:0000345,ANAT,Myelin,NA,NA
CL:0000233,ANAT,platelet,"thrombocyte|trombocit|Platelet, or Thrombocyte",NA
UBERON:0002367,ANAT,prostate,NA,Gland of the male reproductive system in most mammals
UniProt:Q9Y223,GENE,Glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase,GNE|UDP-GlcNAc-2-epimerase/ManAc kinase,mammalian protein found in Homo sapiens
UniProt:P51606,GENE,Renin binding protein,GlcNAc 2-epimerase|N-acetyl-D-glucosamine 2-epimerase|RENBP|Renin-binding protein|RnBP,mammalian protein found in Homo sapiens
UniProt:O60909,GENE,"Beta-1,4-galactosyltransferase 2","B4GALT2|UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 2|UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 2",mammalian protein found in Homo sapiens
UniProt:P15291,GENE,"Beta-1,4-galactosyltransferase 1","B4GALT1|UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1|UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1",mammalian protein found in Homo sapiens
UniProt:P07686,GENE,Hexosaminidase subunit beta,Beta-N-acetylhexosaminidase subunit beta|Cervical cancer proto-oncogene 7 protein|HCC-7|HEXB|Hexosaminidase subunit B|N-acetyl-beta-glucosaminidase subunit beta,mammalian protein found in Homo sapiens
UniProt:P06865,GENE,Hexosaminidase subunit alpha,HEXA|Beta-N-acetylhexosaminidase subunit alpha|Hexosaminidase subunit A|N-acetyl-beta-glucosaminidase subunit alpha,mammalian protein found in Homo sapiens
UniProt:Q9UJ70,GENE,N-acetylglucosamine kinase,NAGK|GlcNAc kinase,mammalian protein found in Homo sapiens
UniProt:Q9BZP6,GENE,"Chitinase, acidic",CHIA|Lung-specific protein TSA1902,mammalian protein found in Homo sapiens
UniProt:Q9UK23,GENE,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,Mannose 6-phosphate-uncovering enzyme|Phosphodiester alpha-GlcNAcase|NAGPA,mammalian protein found in Homo sapiens
UniProt:Q13231,GENE,Chitinase 1,Chitinase-1|CHIT1,mammalian protein found in Homo sapiens
UniProt:O60512,GENE,"Beta-1,4-galactosyltransferase 3","B4GALT3|UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 3|UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 3",mammalian protein found in Homo sapiens
UniProt:O60513,GENE,"Beta-1,4-galactosyltransferase 4","UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 4|UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 4|B4GALT4",mammalian protein found in Homo sapiens
UniProt:P54802,GENE,N-acetyl-alpha-glucosaminidase,NAG|NAGLU|N-acetyl-alpha-glucosaminidase,mammalian protein found in Homo sapiens
UniProt:P61626,GENE,Lysozyme,"1,4-beta-N-acetylmuramidase C|LYZ",mammalian protein found in Homo sapiens
UniProt:Q8WZA1,GENE,"Protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)","GnT I.2|POMGNT1|UDP-GlcNAc:alpha-D-mannoside beta-1,2-N-acetylglucosaminyltransferase I.2",mammalian protein found in Homo sapiens
UniProt:Q6UWQ5,GENE,Lysozyme like 1,LYZL1,mammalian protein found in Homo sapiens
UniProt:Q7Z4W2,GENE,Lysozyme like 2,LYZL2,mammalian protein found in Homo sapiens
UniProt:Q96QH8,GENE,Sperm acrosome associated 5B,Lysozyme-like protein 5|SLLP-X|SPACA5|SPACA5B|Sperm-specific lysozyme-like protein X,mammalian protein found in Homo sapiens
UniProt:O75951,GENE,Lysozyme like 6,LYZL6,mammalian protein found in Homo sapiens
UniProt:P36222,GENE,Chitinase 3 like 1,CGP-39|GP-39|CHI3L1|39 kDa synovial protein|Cartilage glycoprotein 39|hCGP-39|YKL-40,mammalian protein found in Homo sapiens
UniProt:Q15782,GENE,Chitinase 3 like 2,CHI3L2|Chondrocyte protein 39|YKL-39,mammalian protein found in Homo sapiens
UniProt:Q8WVB3,GENE,Hexosaminidase D,Beta-N-acetylhexosaminidase|HEXDC|Beta-hexosaminidase D|Hexosaminidase domain-containing protein|N-acetyl-beta-galactosaminidase,mammalian protein found in Homo sapiens
UniProt:O60502,GENE,Meningioma expressed antigen 5 (hyaluronidase),Beta-N-acetylglucosaminidase|NCOAT|Nuclear cytoplasmic O-GlcNAcase and acetyltransferase|Beta-hexosaminidase|Beta-N-acetylhexosaminidase|Meningioma-expressed antigen 5|N-acetyl-beta-D-glucosaminidase|N-acetyl-beta-glucosaminidase|MGEA5|3.2.1.-,mammalian protein found in Homo sapiens
GO:0097316,PHYS,cellular response to N-acetyl-D-glucosamine,NA,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an N-acetyl-D-glucosamine stimulus."
GO:0097315,PHYS,response to N-acetyl-D-glucosamine,NA,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an N-acetyl-D-glucosamine stimulus."
CHEBI:78366,CHEM,EC 2.7.1.1 (hexokinase) inhibitor,CHEBI:78366,"An EC 2.7.1.* (phosphotransferases with an alcohol group as acceptor) inhibitor that interferes with the action of hexokinase, EC 2.7.1.1, an enzyme that phosphorylates hexoses forming hexose phosphate."
CHEBI:76969,CHEM,bacterial metabolite,CHEBI:76969,Any prokaryotic metabolite produced during a metabolic reaction in bacteria.
UniProt:P00811,GENE,"Penicillin-binding protein; beta-lactamase, intrinsically weak b4150",protein|ampC|b4150,microbial protein found in Escherichia coli str. K-12 substr. MG1655
UniProt:P27695,GENE,Apurinic/apyrimidinic endodeoxyribonuclease 1,AP endonuclease 1|APEN|APEX nuclease|Apurinic-apyrimidinic endonuclease 1|Redox factor-1|REF-1|APE-1|APEX1,mammalian protein found in Homo sapiens
UniProt:O75874,GENE,"Isocitrate dehydrogenase (NADP(+)) 1, cytosolic",IDH1|IDP|Cytosolic NADP-isocitrate dehydrogenase|NADP(+)-specific ICDH|Oxalosuccinate decarboxylase,mammalian protein found in Homo sapiens
UniProt:Q6P4F1,GENE,Fucosyltransferase 10,FUT10|Fuc-TX|Fucosyltransferase 10|Fucosyltransferase X|FucT-X|Galactoside 3-L-fucosyltransferase 10,mammalian protein found in Homo sapiens
KEGG-path:map00520,PHYS,Amino sugar and nucleotide sugar metabolism,NA,Biochemical pathway
KEGG-path:map01100,PHYS,Metabolic pathways,NA,Biochemical pathway
KEGG-path:map02010,PHYS,ABC transporters,NA,Biochemical pathway
KEGG-path:map02060,PHYS,Phosphotransferase system (PTS),NA,Biochemical pathway
NCBIGene:11826,GENE,Aqp1,Aqp1|CHIP28|aquaporin 1,protein-coding gene in the species Mus musculus
FlyBase:FBgn0000180,GENE,bib,NA,gene in the species Drosophila melanogaster
FBcv:0000435,DISO,neuroanatomy defective,NA,Drosophila melanogaster phenotype
